"000568.SZ","食品饮料","白酒"
"000570.SZ","机械","通用设备"
"000571.SZ","煤炭","煤炭开采洗选"
"000572.SZ","汽车","乘用车"
"000573.SZ","房地产","房地产开发管理"
"000576.SZ","轻工制造","造纸"
"000578.SZ","基础化工","农用化工"
"000581.SZ","汽车","汽车零部件"
"000582.SZ","交通运输","航运港口"
"000584.SZ","基础化工","合成纤维及树脂"
"000585.SZ","电力设备","输变电设备"
"000586.SZ","通信","通信设备制造"
"000587.SZ","农林牧渔","林业"
"000589.SZ","汽车","汽车零部件"
"000590.SZ","医药","中药生产"
"000591.SZ","医药","其他医药医疗"
"000592.SZ","房地产","房地产开发管理"
"000593.SZ","电力及公用事业","环保及公用事业"
"000594.SZ","房地产","房地产开发管理"
"000595.SZ","机械","通用设备"
"000596.SZ","食品饮料","白酒"
"000597.SZ","医药","化学制药"
"000598.SZ","电力及公用事业","环保及公用事业"
"000599.SZ","汽车","汽车零部件"
"000600.SZ","电力及公用事业","发电及电网"
"000601.SZ","电力及公用事业","发电及电网"
"000602.SZ","电力及公用事业","发电及电网"
"000603.SZ","医药","生物医药"
"000605.SZ","医药","生物医药"
"000606.SZ","医药","生物医药"
"000607.SZ","医药","其他医药医疗"
"000608.SZ","房地产","房地产开发管理"
"000609.SZ","房地产","房地产开发管理"
"000610.SZ","餐饮旅游","酒店及餐饮"
"000611.SZ","机械","仪器仪表"
"000612.SZ","有色金属","工业金属"
"000613.SZ","餐饮旅游","酒店及餐饮"
"000615.SZ","基础化工","合成纤维及树脂"
"000616.SZ","房地产","房地产开发管理"
"000617.SZ","机械","通用设备"
"000619.SZ","建材","其他建材"
"000620.SZ","石油石化","石油化工"
"000622.SZ","汽车","汽车零部件"
"000623.SZ","医药","生物医药"
"000625.SZ","汽车","乘用车"
"000626.SZ","农林牧渔","农业"
"000627.SZ","基础化工","化学原料"
"000628.SZ","综合","综合"
"000629.SZ","钢铁","普钢"
"000630.SZ","有色金属","工业金属"
"000631.SZ","通信","通信设备制造"
"000632.SZ","商贸零售","贸易"
"000633.SZ","机械","其他专用设备"
"000635.SZ","基础化工","化学原料"
"000636.SZ","电子元器件","其他元器件"
"000637.SZ","石油石化","石油化工"
"000638.SZ","钢铁","普钢"
"000639.SZ","农林牧渔","农业"
"000650.SZ","医药","中药生产"
"000651.SZ","家电","白色家电"
"000652.SZ","综合","综合"
"000655.SZ","钢铁","其他钢铁"
"000656.SZ","综合","综合"
"000657.SZ","有色金属","稀有金属"
"000659.SZ","轻工制造","其他轻工"
"000661.SZ","医药","生物医药"
"000662.SZ","基础化工","化学制品"
"000663.SZ","农林牧渔","林业"
"000665.SZ","传媒","传媒"
"000666.SZ","机械","其他专用设备"
